Student ID,Age,Gender,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,HS GPA,Test Score,Family Income,First Gen,Financial Aid,Credits Attempted,Credits Completed,First Sem GPA,Attendance Rate,Extracurriculars,On-Campus,Work Hours,Mental Health,Advisor Meetings,Study Hours,Age at enrollment,Unemployment rate,Inflation rate,GDP,Target
50,43,Other,1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,1,3.7,92,56739,No,18373,17,12,2,73,0,Yes,24,2,2,38,19,12.7,3.7,-1.7,1
51,24,Other,1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,1,3.6,58,94177,No,23749,18,17,0.3,83,3,No,3,6,5,30,24,12.4,0.5,1.79,1
52,31,Female,1,1,1,12,1,1,1,22,28,7,7,1,0,0,1,1,2.8,74,38122,No,12075,16,16,0.1,83,2,Yes,11,9,0,27,19,9.4,-0.8,-3.12,1
53,37,Female,1,1,1,15,1,1,1,1,14,8,8,1,0,0,1,1,2.2,66,77970,No,9697,12,12,0.5,61,1,Yes,29,7,2,12,20,9.4,-0.8,-3.12,1
54,28,Female,1,1,3,8,1,1,1,22,27,12,12,0,0,0,1,0,3,98,27312,No,20422,12,3,2.4,86,4,No,17,7,2,21,19,7.6,2.6,0.32,1
55,35,Female,1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,3.3,85,100104,No,17157,9,6,1.5,72,1,Yes,4,10,1,31,27,9.4,-0.8,-3.12,0
56,44,Female,1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,3.5,82,138381,No,9709,13,13,1.8,60,5,Yes,2,7,1,33,18,15.5,2.8,-4.06,1
57,19,Male,2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,2.3,97,75310,No,5343,14,1,0.8,86,2,Yes,14,2,5,26,39,12.4,0.5,1.79,1
58,26,Other,1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,3.1,75,28822,No,7333,14,9,3.2,91,1,Yes,30,4,0,25,27,12.4,0.5,1.79,1
59,18,Male,1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,3.3,59,114274,No,24627,16,15,3.7,84,0,No,22,9,0,35,18,9.4,-0.8,-3.12,1
60,36,Male,1,1,3,2,1,1,1,23,27,5,10,1,0,0,1,0,3.3,74,59473,No,4019,13,11,2.3,76,5,No,15,9,5,26,18,7.6,2.6,0.32,1
61,23,Female,1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,2.6,76,61432,No,24956,18,18,0.4,91,2,No,8,5,1,8,18,16.2,0.3,-0.92,0
62,44,Female,1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,1,2,93,76462,No,11310,11,11,3.3,95,1,No,15,8,5,19,21,13.9,-0.3,0.79,0
63,18,Male,1,8,3,2,1,1,1,1,27,5,8,1,0,0,1,1,3.5,67,110837,No,13070,18,16,0.1,92,4,No,9,9,3,39,19,10.8,1.4,1.74,1
64,20,Other,1,8,1,5,1,1,1,1,1,4,5,1,0,0,1,0,3.5,81,101923,Yes,9415,15,2,1.4,71,1,Yes,20,6,0,22,19,10.8,1.4,1.74,1
65,34,Other,1,14,1,5,1,1,1,1,1,4,4,0,0,0,1,0,3.1,51,76479,Yes,21628,16,3,0.6,93,3,Yes,10,8,2,11,24,12.7,3.7,-1.7,1
66,27,Female,4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,0,3.9,50,44154,No,19610,18,1,1,65,1,Yes,15,6,0,5,29,13.9,-0.3,0.79,1
67,25,Male,1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,3,78,21339,No,5590,9,5,2.9,68,3,Yes,17,5,1,9,19,10.8,1.4,1.74,1
68,26,Male,1,15,1,4,1,14,1,13,27,10,10,1,0,0,1,0,3.9,69,103283,No,4863,16,4,2.3,86,1,Yes,0,2,5,26,23,8.9,1.4,3.51,1
69,31,Male,1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,0,3.9,81,120865,No,10472,17,16,0.2,94,2,No,16,10,3,27,19,16.2,0.3,-0.92,1
70,38,Female,1,12,1,11,1,1,1,13,27,8,11,0,0,0,1,0,3.8,65,27368,No,11716,18,9,0.5,60,2,No,29,4,5,23,26,12.7,3.7,-1.7,1
71,26,Other,1,8,1,9,1,1,1,23,27,6,6,0,0,0,1,0,2.6,58,82563,No,8973,11,7,2.4,88,2,No,0,9,4,37,18,7.6,2.6,0.32,0
72,29,Male,1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,0,2.4,70,92976,No,21486,15,5,2.5,66,5,Yes,14,6,4,16,24,13.9,-0.3,0.79,1
73,18,Male,1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,0,2.1,97,35145,No,2648,18,6,0.4,100,0,Yes,20,10,4,17,19,15.5,2.8,-4.06,1
74,26,Other,1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,0,3.6,77,33568,No,8958,11,1,0.5,73,1,Yes,7,7,5,7,18,12.4,0.5,1.79,1
75,44,Male,1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,0,3.1,54,101390,No,12402,16,7,0.9,94,1,Yes,17,1,5,6,18,10.8,1.4,1.74,1
76,41,Other,1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,0,3.1,84,63070,No,17005,11,11,1.6,81,1,No,26,4,4,22,18,10.8,1.4,1.74,1
77,29,Male,1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,2,65,58844,No,5391,11,4,1.7,69,3,Yes,14,10,4,32,21,9.4,-0.8,-3.12,1
78,38,Other,1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,2.9,50,64661,No,4403,10,4,1.8,90,2,Yes,8,10,0,27,19,8.9,1.4,3.51,1
79,38,Female,1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,3.4,78,55822,No,10566,9,8,1,86,1,Yes,5,2,4,36,22,16.2,0.3,-0.92,1
80,22,Female,2,12,1,3,0,1,1,22,27,10,7,0,0,0,1,0,3.2,81,104060,No,17477,9,0,1.5,92,5,No,25,6,2,15,33,10.8,1.4,1.74,1
81,28,Male,1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,0,3.8,91,51848,No,19169,18,3,0.4,76,5,No,6,8,3,17,20,10.8,1.4,1.74,1
82,39,Female,1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,0,3.6,73,130499,No,17215,15,15,2.4,86,3,Yes,17,4,5,29,35,10.8,1.4,1.74,0
83,43,Female,1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,0,2.4,84,28765,No,2645,13,11,0.2,90,0,No,11,3,5,29,24,12.4,0.5,1.79,1
84,21,Female,1,8,1,11,1,1,1,13,14,5,5,0,0,0,1,0,2.6,69,40797,No,24926,10,0,1.1,67,1,No,18,6,2,6,18,12.7,3.7,-1.7,1
85,25,Other,2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,3.7,74,22688,Yes,5061,15,1,2.9,72,3,No,30,5,5,37,33,9.4,-0.8,-3.12,1
86,33,Other,1,13,1,12,1,1,1,22,28,10,8,1,0,0,1,1,3.3,71,146231,No,11210,17,4,0.6,81,1,Yes,27,5,0,19,22,10.8,1.4,1.74,1
87,32,Male,1,12,1,14,1,1,1,1,14,5,6,0,0,0,1,1,2.8,96,60540,No,6277,11,8,0.4,75,3,No,4,8,2,14,25,9.4,-0.8,-3.12,1
88,43,Female,1,8,1,5,1,1,1,13,28,5,1,1,0,0,1,0,2.2,74,32012,No,9126,11,9,0.7,62,5,Yes,1,5,0,30,20,7.6,2.6,0.32,1
89,21,Female,1,1,6,9,1,1,1,23,27,10,10,1,0,0,1,0,2.3,97,23478,No,83,16,2,0.5,82,0,Yes,6,5,3,18,23,11.1,0.6,2.02,1
90,31,Female,1,14,2,7,1,1,1,23,14,10,7,1,0,1,1,0,2.7,57,72931,No,22396,9,0,0.8,86,5,Yes,29,3,3,21,18,15.5,2.8,-4.06,1
91,33,Male,1,12,1,12,1,1,1,1,1,5,11,0,0,0,1,0,3.8,77,89314,No,2131,15,11,3.7,90,4,Yes,21,8,5,6,24,13.9,-0.3,0.79,0
92,18,Male,1,8,2,15,1,1,14,13,1,10,10,1,0,0,0,0,3.4,62,110074,No,4780,10,6,1,90,0,Yes,9,10,2,16,21,8.9,1.4,3.51,1
93,23,Female,1,6,1,8,1,1,14,1,1,5,5,0,0,0,1,0,3.4,78,116790,Yes,22827,17,9,2.2,88,4,Yes,17,6,1,38,26,8.9,1.4,3.51,1
94,43,Other,2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,2.2,66,89122,No,11519,17,7,3.1,95,4,No,2,7,0,19,39,7.6,2.6,0.32,0
95,27,Female,2,12,1,3,0,1,1,22,14,10,10,0,0,0,1,0,3.2,63,51412,No,9116,12,7,3.4,97,1,Yes,18,5,5,26,44,12.7,3.7,-1.7,1
96,39,Other,1,6,1,7,1,1,12,23,3,10,3,1,0,0,1,0,3.4,58,125228,No,14009,14,3,2.3,69,4,No,16,3,4,6,19,13.9,-0.3,0.79,1
97,35,Other,1,1,5,15,1,1,1,22,1,6,6,1,0,0,1,0,2.5,77,130523,No,22595,12,11,1,63,2,Yes,29,7,2,16,18,8.9,1.4,3.51,1
98,44,Male,1,1,5,12,1,1,1,22,27,8,8,1,0,0,1,1,3.1,75,41672,No,21171,10,7,3.6,90,5,Yes,24,3,0,39,18,12.4,0.5,1.79,1
99,26,Other,1,1,1,6,1,1,1,1,2,10,2,1,0,0,1,0,3.9,71,73739,No,14988,17,5,0.4,63,4,Yes,10,2,5,38,19,12.7,3.7,-1.7,1
100,29,Other,1,1,4,12,1,1,1,3,3,3,3,1,0,1,0,0,3.6,58,135891,No,10266,18,13,1.6,71,4,Yes,16,5,5,13,19,13.9,-0.3,0.79,1
101,21,Female,1,17,1,6,1,16,1,23,28,10,10,0,0,0,1,0,2.6,56,53911,No,1726,18,4,1.7,76,3,Yes,19,7,4,11,21,8.9,1.4,3.51,1
102,41,Male,1,1,4,2,1,1,1,1,1,10,11,1,0,0,1,0,3.6,76,75821,No,17690,11,1,1.6,72,4,Yes,16,3,2,31,20,16.2,0.3,-0.92,1
103,38,Other,2,12,1,3,0,1,1,22,27,7,6,1,0,0,1,0,3.4,53,134641,Yes,20330,11,8,1.1,88,3,Yes,14,8,4,21,36,9.4,-0.8,-3.12,1
104,19,Other,4,12,1,4,1,9,1,22,27,10,7,0,0,0,1,0,3.6,96,40132,No,18854,12,3,1.5,65,1,Yes,19,8,4,14,43,15.5,2.8,-4.06,1
105,33,Other,1,9,1,16,1,1,1,13,14,10,8,1,0,0,1,0,3.6,71,43262,No,20698,16,6,3.7,97,1,Yes,1,5,5,10,19,11.1,0.6,2.02,0
106,34,Female,1,16,1,5,1,1,1,3,1,3,9,0,0,1,1,0,3.6,67,87835,No,7520,10,2,2.2,87,2,Yes,15,9,5,29,20,11.1,0.6,2.02,0
107,28,Female,1,1,2,10,1,1,1,22,28,5,8,1,0,0,1,0,2.1,83,105775,No,2830,9,0,0.7,98,2,Yes,11,10,5,8,19,16.2,0.3,-0.92,1
108,33,Male,1,1,1,6,1,1,1,1,1,5,5,1,0,0,1,0,3.8,64,42950,No,17739,15,14,0.8,96,3,Yes,21,6,2,17,20,15.5,2.8,-4.06,1
109,20,Male,1,1,5,12,1,1,1,3,4,5,4,1,0,0,1,0,2.8,83,133358,No,6717,18,11,1,78,5,No,12,3,0,17,20,12.4,0.5,1.79,1
110,41,Other,1,8,2,16,1,1,1,13,1,10,4,1,0,0,1,0,2.4,90,42633,No,5537,11,1,3.5,74,1,Yes,18,2,5,19,20,16.2,0.3,-0.92,1
111,37,Male,1,1,1,10,1,1,1,22,27,7,8,1,0,0,1,0,2.6,76,24881,No,4986,10,7,2.9,72,5,No,14,2,3,32,18,13.9,-0.3,0.79,1
112,33,Male,1,8,2,9,1,1,1,1,28,5,8,1,0,0,1,1,3.4,68,45866,No,4742,18,11,1.9,87,2,No,24,3,1,11,18,8.9,1.4,3.51,1
113,40,Male,1,1,1,6,1,1,1,13,14,10,10,1,0,0,1,0,3.6,91,133205,No,7991,16,15,2.2,77,5,Yes,29,10,5,17,19,10.8,1.4,1.74,1
114,25,Other,1,1,3,15,1,1,1,1,28,5,8,1,0,0,1,0,3.3,56,45571,No,21692,14,13,1.5,61,3,Yes,5,7,0,17,18,10.8,1.4,1.74,1
115,37,Female,1,8,2,12,1,1,1,22,27,10,10,1,0,0,1,0,2.3,99,107899,No,10092,11,4,0.3,65,3,No,29,8,3,5,18,7.6,2.6,0.32,1
116,19,Other,1,14,1,12,1,1,1,23,28,10,6,0,0,0,1,0,2.2,71,100930,No,1150,12,4,2.2,79,0,No,17,8,3,25,20,13.9,-0.3,0.79,1
117,31,Other,1,8,1,10,1,1,1,13,27,10,8,1,0,0,1,1,3.4,86,128205,No,6545,9,5,3.7,79,2,Yes,0,4,0,33,20,7.6,2.6,0.32,0
118,28,Male,1,8,1,9,1,1,1,13,14,4,4,0,0,0,1,0,3.8,55,130156,No,19365,18,14,3.7,87,4,No,13,2,2,23,20,12.4,0.5,1.79,1
119,24,Female,1,1,2,6,1,1,1,22,28,10,8,0,0,0,1,0,3.1,66,105688,No,22967,9,7,3.7,68,4,No,15,1,0,28,18,9.4,-0.8,-3.12,1
120,42,Female,1,1,1,9,1,1,1,2,14,5,6,0,0,0,1,0,3.3,70,92735,No,6748,12,3,3.1,88,2,Yes,20,3,0,6,18,11.1,0.6,2.02,1
121,26,Female,1,8,1,11,1,1,1,1,1,5,6,1,0,0,1,0,3,69,70976,No,8249,17,3,2.4,62,0,Yes,26,7,2,29,21,9.4,-0.8,-3.12,1
122,21,Male,1,1,2,9,1,1,1,13,14,10,8,1,0,0,1,0,3.6,86,124256,No,12958,14,2,1.2,67,2,No,24,9,2,20,19,16.2,0.3,-0.92,1
123,18,Other,1,1,1,2,1,1,1,3,14,3,10,0,0,0,1,0,3.5,69,75657,No,23247,18,12,1.1,86,2,Yes,23,6,2,34,19,10.8,1.4,1.74,1
124,29,Female,1,1,1,14,1,1,1,23,28,10,10,0,0,0,1,1,3.5,74,78213,No,10319,13,3,2.8,96,5,Yes,22,9,3,11,19,9.4,-0.8,-3.12,1
125,21,Other,1,1,1,6,1,1,1,13,28,5,8,1,0,0,1,0,2.9,71,98993,No,8879,17,8,2.1,73,2,No,19,7,4,34,19,15.5,2.8,-4.06,1
126,34,Female,1,8,6,13,1,1,1,1,1,5,6,1,0,0,1,0,2.2,88,65508,No,150,12,0,3.1,90,0,No,6,1,5,24,19,13.9,-0.3,0.79,1
127,30,Female,1,15,1,6,1,14,1,22,27,10,10,1,0,0,1,0,2.8,87,135891,No,10657,11,9,1.8,68,4,Yes,7,5,0,31,20,12.4,0.5,1.79,1
128,21,Male,1,1,1,16,1,1,1,13,28,10,4,1,0,0,1,1,3.8,88,46831,No,7643,9,5,3.5,75,1,Yes,28,6,0,29,18,9.4,-0.8,-3.12,1
129,19,Male,1,8,3,10,1,1,1,1,29,6,4,1,0,0,1,0,3.2,88,29885,No,12052,15,13,0.9,62,1,Yes,30,5,5,23,18,12.4,0.5,1.79,1
130,44,Male,1,8,6,12,1,1,1,1,27,9,10,1,0,0,1,0,3.5,50,139064,No,7807,9,6,2.4,89,0,No,12,10,0,19,19,12.4,0.5,1.79,1
131,37,Male,1,1,3,12,1,1,1,13,14,6,9,1,0,0,1,1,3,52,114012,No,7720,17,4,1.8,67,5,No,17,10,0,31,18,13.9,-0.3,0.79,1
132,34,Other,1,8,2,5,1,1,1,22,27,10,10,1,0,0,1,0,3.2,81,37763,No,23761,15,7,3,99,0,Yes,4,9,1,36,18,7.6,2.6,0.32,1
133,23,Other,1,1,4,9,1,1,1,1,14,5,9,1,0,0,1,0,3,80,136423,No,3836,14,8,3.2,90,2,Yes,19,5,0,18,19,8.9,1.4,3.51,1
134,25,Other,1,8,6,12,1,1,1,1,14,4,4,1,0,0,1,0,2.3,63,148964,No,16860,10,2,1.4,84,3,Yes,10,8,5,29,19,13.9,-0.3,0.79,1
135,19,Female,1,14,1,10,1,1,1,23,27,10,8,0,0,0,1,0,3.8,88,112746,No,10870,9,2,0,81,0,No,29,9,0,37,20,7.6,2.6,0.32,1
136,45,Female,1,1,1,14,1,1,1,1,28,4,10,0,0,1,0,1,2.9,60,73427,Yes,5272,16,9,0.4,64,0,No,25,4,1,9,19,12.4,0.5,1.79,1
137,30,Female,1,8,1,14,1,1,1,13,14,6,6,1,0,0,1,0,3.2,98,120809,No,1792,18,3,0.5,93,2,No,4,2,1,5,20,7.6,2.6,0.32,1
138,41,Male,1,1,1,15,1,1,1,1,1,20,39,0,0,1,1,1,2.5,57,120412,No,2622,13,3,1.3,73,4,No,10,8,2,20,18,8.9,1.4,3.51,1
139,36,Other,1,1,2,12,1,1,1,13,1,5,8,0,0,0,1,1,4,80,38457,No,5545,18,11,1.3,83,3,No,2,3,3,26,20,11.1,0.6,2.02,1
140,36,Male,1,9,1,12,1,1,1,13,1,5,9,0,0,0,1,0,2.2,87,21824,No,17581,10,1,1.1,85,3,No,27,10,4,18,18,13.9,-0.3,0.79,1
141,45,Other,1,1,5,12,1,1,1,22,27,10,10,1,0,0,1,0,2,67,44156,No,24740,9,8,3.4,63,1,No,24,8,1,21,19,7.6,2.6,0.32,0
142,42,Other,1,1,6,15,1,1,1,13,1,5,5,1,0,0,1,1,2,55,28197,Yes,17673,11,1,3.9,72,3,Yes,11,3,2,17,19,12.4,0.5,1.79,1
143,28,Female,1,16,1,9,1,1,1,3,1,4,4,1,0,1,0,0,3.6,56,97210,No,7438,12,3,2.2,81,2,Yes,20,9,4,6,22,8.9,1.4,3.51,1
144,18,Female,1,1,3,10,1,1,1,1,10,10,11,1,0,0,1,1,3.8,71,119296,No,3878,18,0,0.2,64,5,No,6,10,5,20,19,12.4,0.5,1.79,1
145,43,Other,1,1,3,12,1,1,1,13,14,10,8,1,0,0,1,1,3.3,60,73828,No,9188,18,18,1.5,80,5,Yes,25,2,1,24,19,15.5,2.8,-4.06,1
146,45,Male,1,8,5,16,1,1,1,22,28,6,7,1,0,0,1,1,3.5,80,107837,No,20887,15,12,1,79,3,Yes,24,4,2,26,19,9.4,-0.8,-3.12,1
